NBN Atlas record ID,Scientific name,Name qualifier,Common name,Species ID (TVK),Taxon Rank,Occurrence status,Start date year,Locality,OSGR,Latitude,Longitude,Coordinate uncertainty_m,Identification verification status,Vitality
b627f70e-0236-4da0-8826-46492f28c64b,Sciurus vulgaris,,Eurasian Red Squirrel,NBNSYS0000005108,species,present,2015,"Letham, Forfar, Angus DD8, UK",NO527489,56.62967473,-2.771070245,100,Accepted,
b60ff7b5-bfe0-41ca-b43c-a280bb0983d7,Sciurus vulgaris,,Eurasian Red Squirrel,NBNSYS0000005108,species,present,2015,"Forres IV361DW, United Kingdom",NJ043586,57.60747248,-3.601793954,100,Accepted,
b5f05667-a3d5-43a4-9b03-dd182378f685,Sciurus vulgaris,,Eurasian Red Squirrel,NBNSYS0000005108,species,present,2015,"Foyers Medical Centre, Inverness, United Kingdom",NH496209,57.25420294,-4.49339661,100,Accepted,
b59a75ad-3471-4eb6-beb0-0ea9ae9c044a,Sciurus vulgaris,,Eurasian Red Squirrel,NBNSYS0000005108,species,present,2015,"Boreland, United Kingdom",NY164911,55.20701896,-3.313832111,100,Accepted,
b4dd00dd-5039-4eee-b970-82da368b8c48,Sciurus vulgaris,,Eurasian Red Squirrel,NBNSYS0000005108,species,present,2015,,NU00,55.33902,-1.92272,10000,Unconfirmed,
b4793c64-0d23-4c32-a675-e4fb4fb65eed,Sciurus vulgaris,,Eurasian Red Squirrel,NBNSYS0000005108,species,present,2015,,NZ29,55.24856,-1.6083,10000,Unconfirmed,
b4211a1b-85ff-494b-a05f-84c602c54f8e,Sciurus vulgaris,,Eurasian Red Squirrel,NBNSYS0000005108,species,present,2015,Aviemore,NH9119712112,57.18707713,-3.800397721,1,Accepted,
b3dc335b-5740-4753-9adf-0bb69fb28a54,Sciurus vulgaris,,Eurasian Red Squirrel,NBNSYS0000005108,species,present,2015,Aberlour,NJ274435,57.47615916,-3.210762633,100,Accepted,
b3b93e3e-e9ac-46b9-8e6e-ef2d48dd3259,Sciurus vulgaris,,Eurasian Red Squirrel,NBNSYS0000005108,species,present,2015,Banchory,NO6941496498,57.05869325,-2.504336628,1,Accepted,
b3b4acbc-4ae6-408a-b44a-af02f1180f81,Sciurus vulgaris,,Eurasian Red Squirrel,NBNSYS0000005108,species,present,2015,NJ24,NJ212424,57.46524509,-3.313776688,100,Accepted,
b31262e8-b34b-4db5-8ffb-b11d4209ac38,Sciurus vulgaris,,Eurasian Red Squirrel,NBNSYS0000005108,species,present,2015,Begsburn (Blackburn),NJ8336413542,57.21253124,-2.27545237,1,Accepted,
b2fd0d26-2882-4878-9eb7-3375538d5848,Sciurus vulgaris,,Eurasian Red Squirrel,NBNSYS0000005108,species,present,2015,,NZ28,55.1587,-1.60918,10000,Unconfirmed,
b2c766b8-f8cf-4a7d-9c5e-51128898919f,Sciurus vulgaris,,Eurasian Red Squirrel,NBNSYS0000005108,species,present,2015,,NZ29,55.24856,-1.6083,10000,Unconfirmed,
b299c5db-af30-4dcb-926f-7788ecc6290f,Sciurus vulgaris,,Eurasian Red Squirrel,NBNSYS0000005108,species,present,2015,"Callander, Callander, Stirling FK18 8NF, UK",NN5596917298,56.3262187,-4.32950939,1,Accepted,
b1d8fa59-b557-45c3-9220-f202f04e0b85,Sciurus vulgaris,,Eurasian Red Squirrel,NBNSYS0000005108,species,present,2015,"Callander FK17 8JE, United Kingdom",NN6412806990,56.23607556,-4.192356635,1,Accepted,
b18237d8-3d41-49ed-b7fd-b3c3d48e8b33,Sciurus vulgaris,,Eurasian Red Squirrel,NBNSYS0000005108,species,present,2015,Pitmedden Forest,NO233131,56.30419407,-3.239712198,100,Accepted,
b16e14d7-0e2a-41e0-b384-333efefac4f6,Sciurus vulgaris,,Eurasian Red Squirrel,NBNSYS0000005108,species,present,2015,"Parton, Castle Douglas, Dumfries and Galloway DG7 3NW, UK",NX687710,55.0161235,-4.053744227,100,Accepted,
b161db2b-f0e4-41cb-b53a-2130c78fc7d1,Sciurus vulgaris,,Eurasian Red Squirrel,NBNSYS0000005108,species,present,2015,Isle of Arran,NS0145,55.65768611,-5.163739677,1000,Accepted,
b1211796-980a-40b4-bc98-60dade265469,Sciurus vulgaris,,Eurasian Red Squirrel,NBNSYS0000005108,species,present,2015,"Comrie, Crieff, Perth and Kinross PH6 2LA, UK",NN740240,56.39153737,-4.041319776,100,Accepted,
b08680d9-6863-49e9-9cb0-1ef8d451e04b,Sciurus vulgaris,,Eurasian Red Squirrel,NBNSYS0000005108,species,present,2015,Nethy Bridge,NJ0080420343,57.26317227,-3.64479252,1,Accepted,
b073a667-d5dc-4c9c-8e04-1a8dfe451895,Sciurus vulgaris,,Eurasian Red Squirrel,NBNSYS0000005108,species,present,2015,Boat of Garten,NH9339119003,57.24947158,-3.767068736,1,Accepted,
affbf035-f19d-4d5a-9213-d7387758fc94,Sciurus vulgaris,,Eurasian Red Squirrel,NBNSYS0000005108,species,present,2015,,SD20Z,53.57278,-3.07366,2000,Accepted,
afecce16-6d20-4d39-855b-060ab0fa1abb,Sciurus vulgaris,,Eurasian Red Squirrel,NBNSYS0000005108,species,present,2015,,NZ18,55.1591,-1.76612,10000,Unconfirmed,
afcb8f7b-801f-44b8-ad54-add4e42a93d4,Sciurus vulgaris,,Eurasian Red Squirrel,NBNSYS0000005108,species,present,2015,,NZ27,55.06884,-1.61006,10000,Unconfirmed,
afa5295a-a05d-4071-b4e9-7042c7eaa57d,Sciurus vulgaris,,Eurasian Red Squirrel,NBNSYS0000005108,species,present,2015,"Balbirnie Park Golf Club, Markinch, United Kingdom",NO290026,56.21075421,-3.144784549,100,Accepted,
aefdfe3d-2b6e-44bf-8933-f2db97e33b6a,Sciurus vulgaris,,Eurasian Red Squirrel,NBNSYS0000005108,species,present,2015,"Friockheim, Arbroath, Angus DD11, UK",NO587497,56.63742954,-2.673396274,100,Accepted,
aeed309f-afe3-472b-a2a3-fd96246551e0,Sciurus vulgaris,,Eurasian Red Squirrel,NBNSYS0000005108,species,present,2015,,NH943192,57.25169,-3.7527,100,Accepted,
ae48af6a-90cf-4282-96ac-8cf376e51a06,Sciurus vulgaris,,Eurasian Red Squirrel,NBNSYS0000005108,species,present,2015,"Fortrose, Fortrose IV10 8SH, UK",NH716560,57.57601514,-4.147355532,100,Accepted,
ae3df0c0-8439-4101-9460-2e21bb9ee6de,Sciurus vulgaris,,Eurasian Red Squirrel,NBNSYS0000005108,species,present,2015,,NZ29,55.24856,-1.6083,10000,Unconfirmed,
